Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Total (8),,,,51903.57,26675.69,
,Railways,,,,,,
147,"Dharamjaigarh-Korba
(Railway)
(400203)",Chhattisgarh,"05/2018
(03/2017)","12/2026
(08/2026)","1686.22
(1686.22)",484.26,42
148,"Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia
line]
(Ministry of Coal)
(400416)",Jharkhand,"02/2018
(05/2022)","06/2025
(06/2026)","1799.64
(2564.34)",1489.74,64
,Total (2),,,,3485.86,1974,
,Ministry of Power,,,,,,
,Coal,,,,,,
149,"Tubed Coal Mine
(Damodar Valley Corporation)
(400192)",Jharkhand,"07/2016
(10/2016)","05/2026
(05/2026)","1581
(1581)",599.18,36
150,"Badam Coal Mining project of NTPC
(National Thermal Power Corporation [NTPC])
(603293)",Jharkhand,"02/2019
(09/2019)","12/2056
(04/2027)","502
(784)",388.29,59
,Total (2),,,,2083,987.47,
,Electricity Generation,,,,,,
151,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited (NHPC))
(602182)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",3861.98,16
152,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",66.73,3
153,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1750.07
(1750.07)",61.45,2
154,"Buxar Thermal Power Project [1320 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602579)",Bihar,"03/2019
(06/2019)","01/2024
(12/2025)","10439.09
(13756.6)",12911.13,93
155,"Lara Super Thermal Power Project Stage-II [2 x 800 MW]
(National Thermal Power Corporation [NTPC])
(611930)",Chhattisgarh,"08/2023
(08/2023)","06/2028
(09/2028)","15530
(16106)",3498.35,21
156,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]
(National Thermal Power Corporation [NTPC])
(617188)",Chhattisgarh,"09/2024
(09/2024)","09/2029
(-)","9791
(9791)",1054.25,8
157,"Bagodara Solar Power Project
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709747)",Gujarat,"03/2021
(05/2021)","12/2025
(12/2025)","339.35
(339.35)",317.59,51
158,"Dhaulasidh Hydro Electric Project [66 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602582)",Himachal Pradesh,"10/2020
(05/2021)","11/2025
(03/2027)","687.97
(1561.21)",1027.23,72
159,"Luhri Stage-I Hydro Electric Project [210 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602593)",Himachal Pradesh,"11/2020
(11/2020)","01/2026
(02/2030)","1810.56
(4681.64)",1841.71,51
160,"382 MW Sunni Dam HEP
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602633)",Himachal Pradesh,"NA
(04/2018)","03/2027
(-)","2615
(2615)",495.57,0.5
161,"Sunni Dam Hydro Electric Project [382 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(611586)",Himachal Pradesh,"01/2023
(01/2023)","04/2028
(12/2029)","2614.51
(4925.87)",1025.3,31
162,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW
(National Hydroelectric Power Corporation Limited [NHPC])
(602525)","Jammu and
Kashmir","10/2014
(02/2018)","04/2020
(12/2026)","8112.12
(12728)",8057.69,77
163,"Kiru HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602532)","Jammu and
Kashmir","03/2019
(02/2020)","09/2023
(12/2026)","4287.59
(5409)",3313.59,75
164,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.
(National Hydroelectric Power Corporation Limited [NHPC])
(602535)","Jammu and
Kashmir","02/2021
(01/2022)","02/2026
(11/2028)","5281.94
(5281.94)",1384.07,26
165,"Kwar HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(605155)","Jammu and
Kashmir","05/2022
(11/2022)","11/2026
(03/2028)","4526.12
(4526.12)",1203.55,26
166,"Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW]
(National Thermal Power Corporation [NTPC])
(400261)",Jharkhand,"11/2017
(11/2017)","03/2023
(02/2027)","18668
(20302)",18166,86
167,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand
(Damodar Valley Corporation)
(611509)",Jharkhand,"04/2023
(11/2024)","03/2029
(-)","14358
(14358)",1538.88,6
168,"Gadarwara Super Thermal Power Project, Stage-II [3x800 MW]
(National Thermal Power Corporation [NTPC])
(618976)",Madhya Pradesh,"11/2024
(05/2025)","03/2030
(-)","20446
(20446)",1145.83,4
169,"Subansiri Lower HE Project [2000 MW]
(National Hydroelectric Power Corporation Limited (NHPC))
(602096)","Multi-States
(Arunachal
Pradesh, Assam)","09/2003
(01/2005)","09/2010
(05/2026)","6285.33
(26075.5)",25718.57,97
170,"Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion
(National Thermal Power Corporation [NTPC])
(602961)",Odisha,"08/2022
(09/2022)","05/2027
(03/2028)","11843.75
(12543)",5347.06,44
