Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
137,"TILABONI UG
(Eastern Coal Fields Limited [ECL])
(400186)
(N06000276)",West Bengal,"01/2023
(01/2023)","03/2029
(-)","749.08
(749.07)",53.17,11
138,"JHANJRA EXPANSION UG
(Eastern Coal Fields Limited [ECL])
(400312)
(N06000223)",West Bengal,"04/2020
(04/2020)","03/2029
(-)","1210.12
(1210.12)",592.29,45
139,"SONEPUR BAZARI EXPANSION OCP [
(Eastern Coal Fields Limited [ECL])
(400315)
(N06000220)",West Bengal,"07/2021
(07/2021)","03/2029
(-)","5365.88
(5365.88)",607.47,18
140,"2.0 MTPA BHOJUDIH NLW WASHERY
(Ministry of Coal)
(611016)
(N06000195)",West Bengal,"12/2015
(03/2019)","09/2020
(03/2026)","384.57
(384.57)",360.66,97
141,"ITAPARA OCP
(Eastern Coal Fields Limited [ECL])
(612816)
(N06000272)",West Bengal,"12/2023
(12/2023)","03/2030
(-)","929.1
(929.1)",70.38,8
142,"SHYAMSUNDARPUR UG INCLUDING SA
(Eastern Coal Fields Limited [ECL])
(613793)
(N06000191)",West Bengal,"04/2020
(04/2020)","03/2026
(03/2028)","483.65
(483.65)",63.9,16
143,"PARASEA-BELBAID UG PROJECT
(Eastern Coal Fields Limited [ECL])
(613794)
(N06000277)",West Bengal,"01/2023
(01/2023)","03/2028
(-)","389.1
(389.1)",132.48,22
144,"PARASCOLE JAMBAD OCP
(Eastern Coal Fields Limited [ECL])
(616230)
(N06000281)",West Bengal,"11/2024
(11/2024)","03/2037
(-)","1193.55
(1193.55)",11.2,0
,Total (118),,,,188169.37,47927.53,
,Electricity Generation,,,,,,
145,"50 MW Wind Power Project
(NLC India Limited [NLCIL])
(617299)
(N06000292)",Gujarat,"07/2022
(01/2024)","06/2025
(01/2026)","383.84
(383.84)",325.01,51
146,"600 MW Khavda Solar Power Project
(NLC India Limited [NLCIL])
(617730)
(-)",Gujarat,"08/2023
(06/2024)","06/2026
(-)","3335.85
(3335.85)",1796.99,30
147,"200 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
(618991)
(-)",Gujarat,"07/2022
(03/2024)","12/2026
(-)","1221.41
(1221.41)",63.57,0
148,"100 MW SPP part of SECI 150 MW Hybrid
(NLC India Limited [NLCIL])
(618992)
(-)",Gujarat,"07/2022
(04/2024)","12/2026
(-)","480.68
(480.68)",2.57,1
149,"NLC Talabira Thermal Power Project
(NLC India Limited [NLCIL])
(400231)
(N06000270)",Odisha,"01/2017
(01/2024)","03/2030
(-)","27212.96
(27213)",2819.83,1
150,"300 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
(612819)
(N06000269)",Rajasthan,"07/2022
(03/2023)","09/2024
(12/2025)","1813
(1813)",1752.16,100
151,"50 MW Solar PP Minedout Area
(NLC India Limited [NLCIL])
(615327)
(N06000279)",Tamil Nadu,"08/2023
(02/2024)","03/2025
(12/2025)","218.03
(218.03)",166.55,100
152,"Ghatampur Thermal Power Plant 3 X 660 MW
(NLC India Limited [NLCIL])
(400259)
(N06000152)",Uttar Pradesh,"07/2016
(08/2016)","11/2020
(03/2026)","17237.8
(21780.9)",20991.24,94
,Total (8),,,,51903.57,27917.92,
,Railways,,,,,,
153,"Dharamjaigarh-Korba
(Railway)
(400203)
(-)",Chhattisgarh,"05/2018
(03/2017)","12/2026
(08/2026)","1686.22
(2438.53)",561.94,43
154,"Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia
line]
(Ministry of Coal)
(400416)
(-)",Jharkhand,"02/2018
(05/2022)","06/2025
(06/2026)","1799.64
(2564.34)",1663.13,66
,Total (2),,,,3485.86,2225.07,
,Ministry of Power,,,,,,
,Coal,,,,,,
155,"Tubed Coal Mine
(Damodar Valley Corporation)
(400192)
(-)",Jharkhand,"07/2016
(10/2016)","05/2026
(05/2026)","1581
(1581)",600.3,36
156,"Badam Coal Mining project of NTPC
(National Thermal Power Corporation [NTPC])
(603293)
(N18000367)",Jharkhand,"02/2019
(09/2019)","12/2056
(04/2027)","502
(784)",406.86,59
,Total (2),,,,2083,1007.16,
