Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
733,"Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli
Gauge Conversion [152 Km]
(North Western Railway [NWR])
(611855)
(-)",Rajasthan,"NA
(01/2023)","01/2027
(-)","968.92
(968.92)",620.46,65
734,"Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions
under WTA 527
(WPO/Patna)
(611929)
(-)",Rajasthan,"09/2022
(06/2023)","12/2024
(-)","166.86
(166.86)",0,0
735,"PUSHKAR- MERTA CITY NEW LINE
(North Western Railway [NWR])
(616841)
(-)",Rajasthan,"02/2024
(02/2024)","12/2026
(-)","799.64
(799.64)",76.51,7
736,"AJMER- CHANDERIYA DOUBLING
(North Western Railway [NWR])
(616843)
(-)",Rajasthan,"02/2024
(02/2024)","06/2027
(-)","1634.79
(1634.79)",280.16,12
737,"SADULPUR - CHURU DOUBLING PROJECT
(North Western Railway [NWR])
(617403)
(-)",Rajasthan,"01/2024
(01/2024)","06/2026
(-)","468.64
(468.64)",148.29,70
738,"POKHRAN - RAMDEVRA New Line
(North Western Railway [NWR])
(617404)
(-)",Rajasthan,"04/2025
(04/2025)","03/2028
(-)","189.21
(189.21)",0,0
739,"NATHDWARA- NATHDWARA TOWN NL
(North Western Railway [NWR])
(617408)
(-)",Rajasthan,"03/2019
(04/2024)","03/2027
(-)","166.33
(166.33)",101.49,13
740,"Dholpur - Sirmuttra Gauge Conversion
(North Central Railway)
(705482)
(N22000158)",Rajasthan,"03/2022
(04/2020)","02/2019
(02/2027)","747
(747)",457.84,48
741,"Gudha-Thatha Mithri Construction of Railway Track Project
(North Western Railway [NWR])
(705752)
(N22000593)",Rajasthan,"04/2019
(04/2019)","11/2026
(11/2026)","819.48
(967.06)",397.18,99
742,"Sawai Madhopur-Jaipur Railway Line Project
(North Western Railway [NWR])
(705912)
(-)",Rajasthan,"02/2024
(04/2023)","03/2027
(-)","1203.89
(1203.89)",163.65,14
743,"Agra Fort-Bandikui Doubling Line Project
(CAO/C/NCR)
(705919)
(N22000553)",Rajasthan,"06/2022
(02/2021)","06/2027
(06/2027)","1390
(1390)",409.97,63
744,"Sawaimadhopur Bye Pass Line Project
(North Western Railway [NWR])
(706866)
(N22000607)",Rajasthan,"12/2022
(01/2023)","03/2026
(05/2027)","304
(304)",65.94,75
745,"Phase II extension of MRTS from Velachery to St Thomas Mount
(Ministry of Railways)
(400280)
(N22000028)",Tamil Nadu,"11/2007
(11/2008)","07/2025
(09/2025)","734
(734.01)",484.91,99
746,"Redevelopment of Chennai Egmore Station
(Ministry of Railways)
(613002)
(-)",Tamil Nadu,"05/2022
(10/2022)","03/2026
(-)","842
(842)",340,0
747,"Coach Production Factory Upgradation Project
(CPM/ICF)
(705244)
(-)",Tamil Nadu,"12/2017
(07/2018)","12/2021
(-)","520
(520)",192.25,0
748,"Doubling between Bhadrachalam Road and Dornakal
(South Central Railway [SCR] - II)
(616856)
(-)",Telangana,"08/2023
(04/2025)","04/2029
(-)","770.12
(770.12)",64.7,0
749,"Railway Manufacturing Unit
(RVNL - II)
(617409)
(-)",Telangana,"07/2016
(02/2023)","12/2026
(03/2026)","521.36
(521.36)",458.81,83
750,"Kazipet Wagon Overhauling Project
(RVNL)
(705252)
(-)",Telangana,"09/2017
(07/2017)","12/2023
(-)","385
(385)",0,0
751,"Manoharabad-Kothapalli New Rail Line [151 km]
(South Central Railway [SCR] - II)
(705437)
(N22000032)",Telangana,"07/2016
(01/2017)","03/2027
(12/2027)","1160
(2781)",2694.04,71
752,"Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar
(North Eastern Railway [NER])
(400204)
(N22000569)",Uttar Pradesh,"10/2018
(03/2017)","10/2030
(10/2030)","4939.78
(4939.78)",971.42,8
753,"Sahjanwa-Dohrighat
(North Eastern Railway [NER])
(400205)
(N22000565)",Uttar Pradesh,"08/2019
(03/2017)","03/2029
(03/2029)","1319.75
(1319.75)",480.79,3
754,"Varanasi-Pt. Deen Dayal Upadhyaya multitracking 15km including construction of new
Rail-cum-Road Bridge across Ganga River.
(Northern Railways)
(617213)
(-)",Uttar Pradesh,"10/2024
(10/2025)","10/2029
(-)","2464.46
(2464.46)",0,0
755,"Anandnagar - Ghugli via Maharajganj New line 52.7 km
(Construction NER)
(617252)
(-)",Uttar Pradesh,"10/2023
(11/2023)","03/2028
(-)","958.27
(958.27)",623.93,23
