Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
26,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and
Strengthening of C Taxiway at NSCBI Airport Kolkata.
(Airport Authority of India [AAI])
(612791)",West Bengal,"04/2023
(12/2023)","02/2025
(08/2026)","328.3
(328.3)",101.26,45
,Total (26),,,,23049.84,24879.77,
,Ministry of Coal,,,,,,
,Coal,,,,,,
27,"TIKAK EXTENSION OCP
(MIS MoCoal Integration Logins)
(615820)",Assam,"07/2022
(07/2022)","07/2031
(-)","159.77
(159.77)",80.84,0
28,"TIRAP OCP
(MIS MoCoal Integration Logins)
(615821)",Assam,"11/2022
(11/2022)","11/2030
(-)","289.46
(289.46)",105.47,0
29,"PORDA CHIMTAPANI OCP [10 MTY]
(South Eastern Coalfields Limited [SECL])
(400144)",Chhattisgarh,"12/2020
(12/2020)","03/2029
(-)","2310.12
(2310.12)",83.66,10
30,"CHHAL OC SEAM III [6 MTY]
(South Eastern Coalfields Limited [SECL])
(400145)",Chhattisgarh,"12/2013
(12/2013)","03/2022
(09/2025)","610.63
(610.63)",577.46,85
31,"KUSMUNDA OC EXPANSION [15 TO 50 MTY]
(South Eastern Coalfields Limited [SECL])
(400147)",Chhattisgarh,"08/2013
(08/2013)","03/2023
(03/2030)","7612.33
(7612.33)",4697.95,81
32,"BAROUD OC EXPANSION [3.0-10.0M
(South Eastern Coalfields Limited [SECL])
(400149)",Chhattisgarh,"08/2020
(08/2020)","03/2029
(-)","2309.8
(2309.8)",926.11,48
33,"DIPKA EXPANSION OCP [40 MTY]
(South Eastern Coalfields Limited [SECL])
(400354)",Chhattisgarh,"12/2020
(12/2020)","03/2029
(-)","5241.4
(5241.4)",2830.01,37
34,"GEVRA OC [70 MTY]
(South Eastern Coalfields Limited [SECL])
(400424)",Chhattisgarh,"03/2016
(03/2016)","03/2023
(03/2026)","11816.4
(11816.4)",5328.96,77
35,"JAMPALI OC RCE [2.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613795)",Chhattisgarh,"05/2020
(05/2020)","03/2025
(06/2025)","278.64
(278.64)",210.07,82
36,"AMERA OC RCE [1.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613798)",Chhattisgarh,"02/2015
(02/2015)","03/2026
(-)","335.97
(335.97)",88.21,42
37,"AMGAON OC RCE [1.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613799)",Chhattisgarh,"07/2015
(07/2015)","03/2026
(-)","316.11
(316.11)",188.6,72
38,"JAGANNATHPUR OC RCE PROJECT[3
(South Eastern Coalfields Limited [SECL])
(613800)",Chhattisgarh,"07/2016
(07/2016)","03/2025
(03/2026)","459.49
(459.49)",274.35,92
39,"MAHAMAYA OCP [1.50 MTY]
(South Eastern Coalfields Limited [SECL])
(613801)",Chhattisgarh,"05/2018
(05/2018)","03/2026
(-)","410.26
(410.26)",181.23,38
40,"KATKONA RO UG MINE
(South Eastern Coalfields Limited [SECL])
(615191)",Chhattisgarh,"01/2023
(01/2023)","03/2029
(-)","329.21
(329.21)",60.3,2
41,"PELMA OC MDO
(South Eastern Coalfields Limited [SECL])
(616234)",Chhattisgarh,"10/2022
(10/2022)","03/2033
(-)","1725.04
(1725.04)",15.66,17
42,"KUSMUNDA OC EXPANSION PROJECT 50-75 MTY
(SECL - CIL)
(617287)",Chhattisgarh,"11/2024
(11/2024)","03/2030
(-)","4516.88
(4516.88)",16.97,3
43,"MANIKPUR OC EXPANSION PROJECT 7 MTY
(South Eastern Coalfields Limited [SECL])
(617288)",Chhattisgarh,"01/2025
(01/2025)","03/2029
(-)","382.61
(382.61)",0.86,1
44,"DIPKA OC
(SECL - CIL)
(612838)",Gujarat,"NA
(01/2017)","03/2025
(-)","7580
(7580)",3091,65
45,"HURA C OCP
(ECL - CIL)
(400018)",Jharkhand,"08/2022
(08/2022)","03/2029
(-)","859.41
(859.41)",450.76,62
46,"KONAR EXPANSION OCP
(Ministry of Coal)
(400073)",Jharkhand,"01/2022
(01/2022)","03/2032
(-)","799.34
(799.34)",424.01,45
47,"KARO EXPANSION OCP
(Ministry of Coal)
(400074)",Jharkhand,"01/2022
(01/2022)","03/2029
(-)","908.47
(908.47)",269.18,22
48,"SANGHMITRA OC
(Ministry of Coal)
(400136)",Jharkhand,"03/2024
(03/2027)","03/2032
(-)","2660
(2660)",0,0
49,"CHANDRAGUPT OCP
(Ministry of Coal)
(400138)",Jharkhand,"08/2020
(08/2020)","03/2032
(-)","973.5
(973.5)",440.56,25
50,"KOTRE BASANTPUR PACHMO OCP
(Ministry of Coal)
(400139)",Jharkhand,"08/2020
(08/2020)","03/2032
(-)","861.06
(625.4)",455.95,42
51,"Pachwara South Coal Block
(NLC India Limited [NLCIL])
(400142)",Jharkhand,"NA
(12/2019)","09/2028
(-)","2242.9
(2242.9)",1170.75,74
52,"RPR MAGADH EXP OCP
(Ministry of Coal)
(400150)",Jharkhand,"08/2020
(08/2020)","03/2028
(-)","7254.37
(7254.37)",1535.31,38
53,"NORTH URIMARI EXPANSION OCP
(Ministry of Coal)
(400151)",Jharkhand,"07/2021
(07/2021)","03/2029
(-)","778.8
(778.8)",695.99,67
54,"EPR ROHINI - KARKETTA OCP
(Central Coalfields Limited [CCL])
(400153)",Jharkhand,"01/2021
(01/2021)","03/2028
(-)","1020.42
(1020.42)",83.95,20
