Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Civil Aviation,,,,,,
,Aviation & Aviation Infrastructure,,,,,,
1,"Construction of New Domestic Terminal Building Building and miscellaneous works
including maintenance, operations and AICMC at Kadapa Airport
(Airport Authority of India [AAI])
(612786)
(-) (-)",Andhra Pradesh,"03/2023
(01/2024)","01/2026
(09/2026)","265.91
(265.91)",176.38,80
2,"Construction of New Integrated Terminal Building and associated works including
apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada
Airport.
(Airport Authority of India [AAI])
(701107)
(-) (-)",Andhra Pradesh,"06/2020
(09/2020)","09/2022
(11/2026)","611.80
(824.28)",572.99,89.7
3,"Construction of New Domestic Terminal Building at Rajahmundry Airport.
(Airport Authority of India [AAI])
(701121)
(-) (-)",Andhra Pradesh,"12/2022
(08/2023)","08/2025
(08/2026)","347.15
(347.15)",189.48,96
4,"Guwahati Airport New Integrated Terminal Building Construction Project
(Adani Airport Holdings Limited)
(706724)
(-) (-)",Assam,"12/2016
(03/2018)","03/2025
(06/2026)","1712.00
(2520.00)",2670.23,99.5
5,"Development of New Civil Enclave at Bihta
(Airport Authority of India [AAI])
(612183)
(-) (-)",Bihar,"08/2024
(04/2025)","03/2027
(-)","1413.00
(1413.00)",15.53,4.15
6,"Development of New Civil Enclave and associated works at Darbhanga Airport
(Airport Authority of India [AAI])
(612194)
(-) (-)",Bihar,"07/2024
(07/2024)","07/2026
(11/2026)","911.66
(911.66)",426.22,71.1
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied
structures at JPNI Airport, Patna
(Airport Authority of India [AAI])
(701101)
(-) (-)",Bihar,"10/2018
(10/2018)","05/2026
(08/2026)","1216.90
(1216.90)",1203.48,99.26
8,"Development of Keshod Airport.
(Airport Authority of India [AAI])
(619054)
(-) (-)",Gujarat,"01/2024
(07/2025)","01/2027
(-)","363.10
(363.10)",108.64,46.69
9,"Development of Dholera International Greenfield Airport , Gujarat
(Airport Authority of India [AAI])
(701126)
(-) (-)",Gujarat,"06/2022
(07/2022)","06/2026
(09/2026)","1305.00
(1551.00)",966.36,88
10,"Construction of NTB complex including apron, taxi track and other associated civil
works and electrical & mechanical installations towards Tawi River side at CA Jammu.
(Airport Authority of India [AAI])
(611047)
(-) (-)","Jammu and
Kashmir","10/2023
(12/2023)","06/2026
(11/2026)","861.37
(861.37)",370.44,58.35
11,"Construction of New Domestic Terminal Building and Miscellaneous works at Hubli
Airport
(Airport Authority of India [AAI])
(612787)
(-) (-)",Karnataka,"06/2023
(01/2024)","01/2026
(09/2026)","320.47
(320.47)",169.11,88.5
12,"Construction of New Domestic Terminal Building and Miscellaneous Works at
Belagavi Airport.
(Airport Authority of India [AAI])
(612788)
(-) (-)",Karnataka,"06/2023
(02/2024)","02/2026
(08/2026)","322.45
(322.45)",240.99,97
13,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport.
Construction of embankment with slope protection, drainage system and associated
works for additional RESA on either end on Runway 10-28
(Airport Authority of India [AAI])
(612789)
(-) (-)",Kerala,"06/2023
(02/2024)","09/2025
(12/2026)","484.57
(484.57)",242.51,65.8
14,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh
(Airport Authority of India [AAI])
(400010)
(-) (-)",Ladakh,"07/2018
(09/2018)","09/2021
(07/2026)","480.00
(640.00)",512.55,88
15,"C/o NITB Imphal Airport
(Airport Authority of India [AAI])
(706718)
(-) (-)",Manipur,"11/2021
(07/2022)","07/2024
(12/2026)","499.00
(499.00)",212.17,53.14
16,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai,
Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL
(Airport Authority of India [AAI])
(611570)
(-) (-)","Multi-States
(Karnataka,
Maharashtra,
Telangana, Uttar
Pradesh)","12/2020
(10/2022)","09/2025
(08/2026)","500.48
(500.48)",399.77,80
17,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.
(Airport Authority of India [AAI])
(618977)
(-) (-)",Rajasthan,"08/2025
(10/2025)","10/2027
(11/2027)","1507.00
(1507.00)",81.41,13.6
18,"Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur
Airport.
(Airport Authority of India [AAI])
(701127)
(-) (-)",Rajasthan,"06/2022
(05/2023)","03/2026
(06/2026)","480.00
(480.00)",348.2,100
19,"Construction of New Integrated Passenger Terminal Building at Udaipur Airport
(Airport Authority of India [AAI])
(701128)
(-) (-)",Rajasthan,"06/2023
(11/2023)","03/2026
(09/2026)","887.00
(887.00)",587.22,78.71
