Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
89,"SASTI EXPANSION OPENCAST
(Western Coalfields Limited [WCL])
(615186)
(N06000206)",Maharashtra,"08/2020
(08/2020)","03/2026
(-)","319.04
(319.04)",98.36,20
90,"NEW MAJRI UG TO OC 3 MTY COST
(Western Coalfields Limited [WCL])
(615188)
(N06000255)",Maharashtra,"05/2019
(09/2022)","03/2027
(-)","402.27
(402.27)",66.54,24
91,"MAKARDHOKRA EXPN OC 4.9 MTY
(Western Coalfields Limited [WCL])
(615189)
(N06000253)",Maharashtra,"06/2022
(06/2022)","03/2026
(-)","361.87
(361.87)",86.47,12
92,"SINGHORI DEEP OC MIN 2.0 MTY
(Western Coalfields Limited [WCL])
(615190)
(N06000252)",Maharashtra,"05/2022
(05/2022)","03/2029
(-)","335.75
(335.75)",43.23,6
93,"GOKUL EXTENSION OC MINE
(Western Coalfields Limited [WCL])
(615192)
(N06000264)",Maharashtra,"04/2021
(04/2021)","03/2026
(-)","309.58
(309.58)",51.33,8
94,"KOLGAON EXPANSION DEEP OC MINE
(Western Coalfields Limited [WCL])
(615199)
(N06000267)",Maharashtra,"01/2023
(09/2023)","03/2027
(-)","198.71
(198.71)",19.09,2
95,"BALLARPUR NORTH WEST OC MINE
(Western Coalfields Limited [WCL])
(615330)
(N06000282)",Maharashtra,"12/2022
(12/2022)","03/2029
(-)","360.81
(360.81)",0.02,5
96,"GADEGAON OC 3 MTY
(Western Coalfields Limited [WCL])
(615331)
(-)",Maharashtra,"10/2023
(10/2023)","03/2030
(-)","497.41
(497.41)",0.7,2
97,"GHONSA EXPANSION DEEP OC MINE
(Western Coalfields Limited [WCL])
(615914)
(N06000205)",Maharashtra,"03/2021
(03/2021)","03/2029
(-)","184.71
(184.71)",14.77,12
98,"AMLG GAURI PAUNI EXPANSION OC
(Western Coalfields Limited [WCL])
(615916)
(N06000271)",Maharashtra,"04/2024
(04/2024)","03/2030
(-)","1225.21
(1225.21)",82.8,3
99,"GAURIDEEP/GAURI CENTRAL OCP 7.
(Western Coalfields Limited [WCL])
(615917)
(N06000278)",Maharashtra,"08/2023
(06/2024)","03/2030
(-)","973.07
(973.07)",1.04,2
100,"RPR OF BHANEGAON OC
(Western Coalfields Limited [WCL])
(615918)
(N06000256)",Maharashtra,"02/2017
(09/2022)","03/2028
(-)","405.2
(405.2)",21.66,9
101,"N. EXTN. MUNGOLI NIRGUDA D OCP
(Western Coalfields Limited [WCL])
(615919)
(N06000283)",Maharashtra,"06/2024
(06/2024)","03/2029
(-)","1024.91
(1024.91)",181.16,0
102,"NILJAI EXPANSION DEEP OCP
(Western Coalfields Limited [WCL])
(615982)
(N06000154)",Maharashtra,"08/2016
(08/2016)","03/2022
(03/2026)","319.75
(319.75)",188.79,79
103,"UKNI DEEP OC MINE -COST PLUS
(Western Coalfields Limited [WCL])
(616044)
(N06000179)",Maharashtra,"11/2018
(01/2019)","03/2021
(03/2026)","237.06
(237.06)",166.07,93
104,"AMALGAMATED INDER-KAMPTEE DEEP
(Western Coalfields Limited [WCL])
(616050)
(N06000226)",Maharashtra,"09/2018
(09/2018)","03/2024
(03/2026)","235.9
(235.9)",132.21,98
105,"ADASA UG TO OC MINE
(Western Coalfields Limited [WCL])
(616223)
(N06000219)",Maharashtra,"11/2018
(11/2018)","03/2024
(03/2026)","316
(316)",208.68,86
106,"AMAL GONDEGAON GHATROHANA EXPN
(Western Coalfields Limited [WCL])
(616229)
(N06000284)",Maharashtra,"09/2024
(09/2024)","03/2029
(-)","668.54
(668.54)",1.33,0
107,"WAGHODA UG MINE [1.02 MTY]
(Western Coalfields Limited [WCL])
(617233)
(N06000293)",Maharashtra,"01/2024
(01/2025)","03/2030
(-)","379.3
(379.3)",0,0
108,"KOLARPIMPRI EXPANSION OC [2.5
(Western Coalfields Limited [WCL])
(617278)
(N06000294)",Maharashtra,"06/2024
(02/2025)","03/2030
(-)","630.37
(630.37)",0,0
109,"SAONER-III EXPN UG MINE 1.54
(Western Coalfields Limited [WCL])
(619055)
(-)",Maharashtra,"08/2025
(08/2025)","03/2032
(-)","444.42
(444.42)",0,0
110,"Master Plan for Jharia and Raniganj Coalfields
(Bharat Coking Coal Limited [BCCL])
(400313)
(N06000163)","Multi-States
(Jharkhand, West
Bengal)","08/2009
(08/2009)","08/2019
(12/2028)","2661.73
(2661.73)",799.12,43
111,"BINA KAKRI AMALGAMATION EXPANS
(Northern Coalfields Limited [NCL])
(400369)
(N06000192)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","08/2020
(08/2020)","03/2024
(03/2027)","836.42
(836.42)",832.78,89
112,"KHADIA EXPANSION [10 TO 16 MTP
(Northern Coalfields Limited [NCL])
(615183)
(N06000208)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","06/2021
(06/2021)","03/2025
(03/2027)","491.67
(491.67)",266.47,54
