Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
621,"Solapur-tuljapur-Osmanabad
(Central Railway)
(705735)",Maharashtra,"08/2018
(12/2023)","03/2027
(03/2028)","904.92
(3295.74)",1153.7,12
622,"Nagpur- Nagbhir Railway Line Gauge Conversion Project
(MRIDC)
(705799)",Maharashtra,"10/2019
(04/2020)","12/2025
(12/2025)","1400
(1400)",1472,80
623,"Mumbai Urban Transport Project [MUTP] - PHASE II
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706779)",Maharashtra,"05/2008
(04/2008)","03/2014
(12/2027)","8087
(8087)",7364,87
624,"Mumbai Urban Transport Project [MUTP] Phase-IIIA
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706780)",Maharashtra,"04/2019
(04/2019)","12/2027
(12/2027)","33690
(33690)",2436.22,16
625,"Mumbai Urban Transport Project Phase-III
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706781)",Maharashtra,"11/2016
(12/2016)","03/2022
(12/2026)","10947
(10947)",5460.49,65
626,"PACHORA-JAMNER WITH EXTENSION UPTO MALKAPUR NG TO BG
(CR)
(709808)",Maharashtra,"08/2022
(01/2022)","08/2027
(03/2028)","955.39
(2093.82)",130.42,11
627,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",15598.11,69
628,"Marikuppam - Kuppam New Line Project [23.70 Km]
(South Western Railway [SWR] - II)
(705491)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2012
(10/2018)","06/2026
(06/2026)","297
(297)",134.31,15
629,"Rayadurg-Tumkur via Kalyandurg New Line [207 km]
(South Western Railway [SWR] - II)
(705494)","Multi-States
(Andhra Pradesh,
Karnataka)","03/2008
(07/2010)","09/2015
(02/2028)","2496
(2496)",1739.53,69
630,"Renigunta, Wadi & Gooty Bypass Railway Project
(South Central Railway [SCR] - I)
(705610)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2016
(04/2016)","12/2025
(12/2025)","302
(543)",381,50
631,"Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km
(South Central Railway [SCR] - II)
(617212)","Multi-States
(Andhra Pradesh,
Maharashtra,
Telangana)","08/2023
(08/2023)","03/2029
(-)","4686.09
(4686.09)",668.81,1
632,"Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM]
(RVNL - II)
(400253)","Multi-States
(Andhra Pradesh,
Odisha)","06/2016
(11/2016)","12/2026
(12/2026)","4803
(6670)",5722.01,89
633,"Doubling of Kottavalasa-Koraput Rail Line [189 KM]
(East Coast Railway [ECoR] - II)
(705512)","Multi-States
(Andhra Pradesh,
Odisha)","12/2015
(01/2016)","03/2022
(03/2028)","2500
(2500)",2023.97,71
634,"Vizianagaram-Sambhalpur 3rd Line Project
(RVNL)
(705520)","Multi-States
(Andhra Pradesh,
Odisha)","06/2016
(12/2016)","03/2025
(-)","4803.16
(4803.16)",2979.23,0
635,"Tindivanam-Nagari New Line Project [184.5 km]
(Southern Railway [SR] - II)
(400275)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","07/2008
(10/2008)","09/2016
(03/2028)","3631
(3631)",1113.53,18
636,"Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at
Motumari - 10.877 Km
(South Central Railway [SCR] - II)
(616857)","Multi-States
(Andhra Pradesh,
Telangana)","02/2024
(03/2025)","03/2029
(-)","1595.55
(1595.55)",14.27,1
637,"Doubling of Guntur Bibinagar 239 Km
(South Central Railway [SCR] - II)
(617211)","Multi-States
(Andhra Pradesh,
Telangana)","08/2023
(08/2023)","03/2029
(-)","2853.23
(2853.23)",62.29,1
638,"Rail Connectivity to Errupalem Amravati Namburu 57 Km
(South Central Railway [SCR] - II)
(617214)","Multi-States
(Andhra Pradesh,
Telangana)","11/2024
(11/2024)","03/2027
(-)","2047.4
(2047.4)",14.49,0
639,"Kazipet-Vijayawada 3rd line with electrification [220 km]
(South Central Railway [SCR] - II)
(705612)","Multi-States
(Andhra Pradesh,
Telangana)","03/2013
(08/2014)","02/2025
(12/2025)","1953
(3363)",3436.15,94
640,"Vijayawada - Kazipet Byepass line
(South Central Railway [SCR] - II)
(705632)","Multi-States
(Andhra Pradesh,
Telangana)","04/2016
(04/2016)","01/2025
(12/2025)","647
(904)",945.51,92
641,"Murkongselek-Pasighat
(Northeast Frontier Railway (NFR) - II)
(705401)","Multi-States
(Arunachal
Pradesh, Assam)","02/2011
(03/2023)","03/2025
(05/2026)","435
(1250)",542.07,61
642,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States
(Assam,
Nagaland)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",13.74,0
