Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
549,"Gauge Conversion of Kendri-Dhamtari including Abhanpur - Rajim Branch line 67.20
Kms - 2nd Material Modification to Raipur Titlagarh doubling.
(SECR)
(602792)
(-) (-)",Chhattisgarh,"07/2011
(05/2021)","02/2025
(06/2026)","1171
(1171)",448.77,100
550,"4th line between Nipania Bhatapara 14.4 Km
(South East Central Railway [SECR] - II)
(612815)
(-) (-)",Chhattisgarh,"12/2022
(05/2024)","03/2027
(-)","170.49
(170.49)",9.98,15
551,"KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM]
(CAO/C/SECR)
(617200)
(-) (-)",Chhattisgarh,"04/2025
(04/2025)","03/2031
(-)","7853.84
(7853.84)",0.64,0
552,"Dallirajhara - Rowghat New Rail Line Project, Phase-I
(Rail Vikas Nigam Limited)
(617374)
(-) (-)",Chhattisgarh,"07/2009
(11/2009)","03/2025
(02/2026)","1516.45
(1881.26)",2154.73,98
553,"Dallirajhra- Rowghat New Railway Line - Phase I [95 km]
(Rail Vikas Nigam Limited)
(705433)
(-) (-)",Chhattisgarh,"07/2009
(12/2009)","09/2025
(12/2025)","1628
(1628)",1440.85,82
554,"Gevra Road-Pendra Road New Railway Line [135 km]
(Indian Railway Construction International Limited [IRCON])
(705444)
(-) (-)",Chhattisgarh,"04/2014
(04/2014)","03/2022
(12/2026)","4970
(7448.52)",5327.55,83.36
555,"Boridand - Ambikapur Doubling Line Project
(South East Central Railway [SECR] - II)
(706854)
(-) (-)",Chhattisgarh,"06/2022
(04/2022)","06/2030
(06/2030)","1376
(1576.72)",312.72,30
556,"4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23]
(SECR)
(709815)
(-) (-)",Chhattisgarh,"09/2022
(05/2024)","01/2027
(12/2027)","177.03
(177.03)",12.3,18
557,"4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23]
(SECR)
(709816)
(-) (-)",Chhattisgarh,"09/2022
(05/2024)","02/2027
(02/2027)","177.34
(177.34)",32.49,11
558,"4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23]
(SECR)
(709818)
(-) (-)",Chhattisgarh,"09/2022
(05/2024)","01/2027
(01/2027)","328.34
(328.34)",96.2,36
559,"3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI
(SECR)
(709819)
(-) (-)",Chhattisgarh,"09/2022
(05/2025)","12/2026
(12/2026)","167.64
(167.64)",28.01,11
560,"Redevelopment of New Delhi Railway Station and construction of associated
infrastructure
(Rail Land Development Authority)
(613785)
(-) (-)",Delhi,"01/2023
(06/2024)","12/2028
(-)","4744
(4744)",355.8,6
561,"Development of New Bijwasan Railway Terminal
(Northern Railways)
(617379)
(-) (-)",Delhi,"02/2008
(03/2013)","03/2020
(12/2026)","446.21
(446.21)",565.7,80
562,"Anand Vihar-Tilak Bridge 3rd & 4th line
(CAO/C/NR)
(705583)
(-) (-)",Delhi,"03/2013
(03/2013)","03/2023
(12/2027)","667
(667)",333.72,23
563,"Chandargaon - Cansaulium Rail Flyover Project [16 Km]
(South Western Railway [SWR] - II)
(706865)
(-) (-)",Goa,"NA
(04/2026)","03/2031
(-)","1892
(1892)",0,0
564,"Kosamba Umarpada 70 Km
(PCE/WR)
(611918)
(-) (-)",Gujarat,"07/2023
(07/2022)","03/2027
(-)","468
(468)",44.62,9
565,"New Broad Gauge line between Naliya to Jakhau Port
(Western Railway [WR] - II)
(611943)
(-) (-)",Gujarat,"02/2023
(02/2023)","01/2028
(02/2028)","410.26
(410.26)",11.3,5
566,"Petlad-Bhadran 22.5 km
(CAOCWR WR mor)
(611945)
(-) (-)",Gujarat,"05/2022
(05/2022)","05/2030
(05/2030)","307.11
(307.11)",18.9,17
567,"Samlaya Timba Road 54 km
(PCE/WR)
(611970)
(-) (-)",Gujarat,"02/2023
(02/2023)","03/2030
(03/2030)","670.17
(670.17)",47.46,12
568,"Samni Jambusar 24 km
(PCE/WR)
(611971)
(-) (-)",Gujarat,"05/2022
(05/2022)","03/2030
(03/2030)","350
(349.93)",80.49,31
569,"Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms
(Western Railway [WR] - II)
(611974)
(-) (-)",Gujarat,"08/2023
(08/2023)","12/2026
(12/2027)","1430
(1430)",582.1,45
570,"Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives
Manufacturing at
(PCE/WR)
(611977)
(-) (-)",Gujarat,"05/2022
(02/2023)","02/2025
(-)","487
(487)",222.88,53
