Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
769,"Janghai-Pratapgarh- Amethi
(CAO/C/II/NR)
(705588)
(N22000583) (2339)",Uttar Pradesh,"11/2017
(03/2017)","03/2025
(03/2026)","722
(1194)",1729.27,70
770,"Lalitpur-Birari with flyover at Lalitpur- 16 Km
(North Central Railway)
(705766)
(N22000546) (2084)",Uttar Pradesh,"03/2017
(11/2017)","12/2024
(01/2026)","304.44
(356)",279.26,86
771,"Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project
(North Central Railway)
(705771)
(N22000563) (-)",Uttar Pradesh,"04/2019
(10/2020)","03/2026
(03/2026)","494
(494)",410.3,80
772,"Mughalsarai-Allahabad, 3rd line
(North Central Railway)
(705772)
(N22000544) (2317)",Uttar Pradesh,"12/2015
(03/2016)","12/2026
(03/2027)","2649
(2649.44)",1991.04,73
773,"Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project
(CAO/C/NCR)
(705774)
(N22000562) (6129)",Uttar Pradesh,"04/2019
(09/2020)","01/2025
(03/2027)","758
(779.49)",511.12,83
774,"Bhandai - Flyover for Etawah bound down train- 10 Km
(North Central Railway [NCR] - II)
(705777)
(N22000564) (10080)",Uttar Pradesh,"07/2020
(04/2021)","02/2026
(02/2027)","250.18
(250.18)",163.27,9
775,"Bhatni-Aurnihar with electrification excluding Indara-Mau
(RVNL - I)
(705780)
(N22000598) (2330)",Uttar Pradesh,"03/2018
(03/2017)","12/2024
(06/2026)","2529
(2529.46)",2169.72,96.6
776,"Barabanki-Malhaur 3rd & 4th Railway Line Project
(Ministry of Railways)
(705782)
(N22000590) (-)",Uttar Pradesh,"01/2019
(04/2017)","03/2025
(08/2026)","407
(407)",417.22,78
777,"Allahabad division - Aligarh - Harduaganj Flyover
(North Central Railway)
(705918)
(N22000545) (3451)",Uttar Pradesh,"04/2020
(02/2021)","10/2026
(03/2027)","1457
(1457)",400.19,36
778,"Rishikesh-Karnaprayag New Rail Line- 125 km
(RVNL - II)
(705429)
(N22000406) (1764)",Uttarakhand,"11/2016
(08/2018)","12/2025
(12/2028)","38953
(38953)",28508.86,74.5
779,"Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line
And Naihati-Ranaghat 3rd Line.
(Eastern Railway [ER] - I)
(400247)
(N22000624) (1852)",West Bengal,"07/2015
(11/2005)","02/2027
(03/2028)","1000
(1000)",1066.85,76
780,"Tarakeshwar-Bishnupur New Line [82.47 km]
(Eastern Railway [ER] - I)
(400273)
(220100272) (1552)",West Bengal,"03/2001
(02/2008)","03/2019
(02/2026)","1189
(1542)",1390.59,96.9
781,"Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway
(RVNL - II)
(400277)
(N22000110) (1539)",West Bengal,"03/2010
(10/2011)","12/2025
(12/2027)","8964
(8964)",8733.02,87
782,"Construction of Balurghat-Hilli new BG Line
(Northeast Frontier Railway [NFR])
(612096)
(N22000206) (5478)",West Bengal,"12/2010
(12/2010)","03/2027
(03/2027)","1209
(1181.57)",501.96,17
783,"SER Upgradation of maintenance infrastructure at Shalimar into Vande Bharat Chair
Car maintenance cum workshop depot.
(South Eastern Railway - JH)
(617345)
(-) (-)",West Bengal,"03/2024
(12/2024)","10/2026
(-)","226.87
(226.87)",86.69,50
784,"Joka-BBD Bag new metro project
(RVNL - II)
(705730)
(N22000111) (648)",West Bengal,"03/2010
(04/2010)","12/2026
(12/2029)","4835
(10362)",4998.49,51
785,"Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km]
(Metro Railway, Kolkata)
(706776)
(N22000108) (3398)",West Bengal,"11/2010
(03/2010)","08/2026
(03/2029)","4830
(4830)",3350.62,32.2
786,"Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway
(RVNL - II)
(706777)
(N22000109) (3400)",West Bengal,"03/2010
(03/2010)","12/2026
(12/2030)","2298
(2734)",429.56,17
,Total (261),,,,728025.49,583861.87,
,Ministry of Road Transport & Highways,,,,,,
,Roads & Highways,,,,,,
787,"Rehabilitation and up-gradation of section to Intermediate/2-Lane with hard shoulder
from Km 107.760 to Km 129.445 After Middle strait to Humphrey, Km 130.600 to Km
138.00 After Humphrey to Kadamtala & Km 155.00 to Km 181.0 End of Jarwa to
Rangat of NH-04 in UT of A&N on EPC Package-IIIA
(NHIDCL)
(619184)
(-) (-)","Andaman &
Nicobar","02/2018
(03/2024)","09/2025
(12/2026)","207.45
(376.48)",0,78.01
788,"Rehabilitation and up-gradation and completion of balance work of section from Km
155.00 to Km 181.00 End of Jarwa to Rangat of NH -4 Total length 26 Km to
Intermediate Lane/2-lane with hard shoulders in the UT of A&N Islands on EPC basis -
Package-III.B Balance work
(NHIDCL)
(619185)
(-) (-)","Andaman &
Nicobar","02/2018
(05/2024)","10/2025
(06/2026)","183.56
(333.12)",0,47.28
