Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
285,"Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP 3
(Ministry of Housing & Urban Affairs)
(702746)
(-) (-)",Jharkhand,"02/2017
(12/2018)","03/2023
(06/2026)","278.28
(278.28)",186.5,81
286,"Belgavi Improvement in Sewerage System Project
(Ministry of Housing & Urban Affairs)
(702760)
(-) (-)",Karnataka,"12/2015
(10/2016)","07/2023
(06/2026)","162.73
(162.73)",79.5,80
287,"Indore Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702793)
(-) (-)",Madhya Pradesh,"12/2016
(11/2017)","03/2023
(06/2026)","287.17
(287.17)",252.5,99
288,"Satna Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702808)
(-) (-)",Madhya Pradesh,"11/2015
(12/2016)","03/2024
(08/2026)","191.56
(215.89)",200.32,96
289,"Singrauli Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702810)
(-) (-)",Madhya Pradesh,"05/2016
(11/2017)","03/2023
(06/2026)","402.01
(438.10)",371.17,90
290,"Kalyan-Dombivali Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702833)
(-) (-)",Maharashtra,"07/2016
(09/2019)","10/2023
(08/2026)","194.20
(194.20)",136.56,75
291,"Jalandhar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(703021)
(-) (-)",Punjab,"11/2016
(08/2020)","08/2023
(08/2026)","258.53
(266.64)",161.02,90
292,"Patiala Water Supply Infrastructure Part-2 Project
(Ministry of Housing & Urban Affairs)
(703057)
(-) (-)",Punjab,"11/2016
(08/2020)","10/2023
(08/2026)","287.00
(287.00)",213.64,99
293,"Jhansi Water Supply Infrastructure Phase-II Project
(Ministry of Housing & Urban Affairs)
(702949)
(-) (-)",Uttar Pradesh,"03/2017
(06/2019)","07/2023
(08/2026)","561.74
(561.74)",506.52,95
294,"Lucknow Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702958)
(-) (-)",Uttar Pradesh,"09/2016
(05/2019)","03/2023
(08/2026)","142.46
(173.21)",152.65,95
,Total (15),,,,3750.55,2930.11,
,Ministry of Mines,,,,,,
,Construction,,,,,,
295,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art
Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata
(Central Public Works Department [CPWD])
(617280)
(-) (-)",West Bengal,"04/2019
(02/2020)","08/2026
(-)","255.37
(255.37)",98.94,64
,Total (1),,,,255.37,98.94,
,Metals & Mining,,,,,,
296,"Expansion of Malanjkhand Copper Project
(Hindustan Copper Limited [HCL])
(400426)
(-) (-)",Madhya Pradesh,"09/2011
(04/2015)","04/2020
(03/2029)","1856.36
(3800.00)",1018.09,28
297,"Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity
enhancement of 1.0 Million Tonee Per Annum
(National Aluminium Company Limited [NALCO])
(400141)
(-) (-)",Odisha,"04/2017
(04/2017)","12/2022
(06/2026)","4103.00
(5677.40)",5023.49,95.64
298,"Pottangi Bauxite Mines Project
(National Aluminium Company Limited [NALCO])
(400299)
(-) (-)",Odisha,"05/2018
(05/2018)","03/2025
(11/2026)","1381.00
(1960.77)",770.37,52.4
299,"SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA
REFINERY FROM SOUTH BLOCK MINING LEASE OF PANCHPATMAILI MINES
(National Aluminium Company Limited [NALCO])
(709831)
(-) (-)",Odisha,"11/2017
(11/2019)","05/2025
(06/2026)","483.00
(483.00)",453.89,93.18
300,"25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU
(National Aluminium Company Limited [NALCO])
(709832)
(-) (-)",Tamil Nadu,"09/2017
(12/2017)","03/2025
(03/2026)","166.00
(166.00)",135,70
,Total (5),,,,7989.36,7400.84,
,Department of Higher Education,,,,,,
,Education,,,,,,
301,"Construction of Permanent Campus of Central Tribal University of Andhra Pradesh
Phase-1
(Central Tribal University of Andhra Pradesh)
(613008)
(-) (-)",Andhra Pradesh,"09/2019
(12/2023)","06/2027
(-)","305.00
(305.00)",67.73,44.5
302,"Construction of Permanent Campus of National Institute of Technology Arunachal
Pradesh
(National Institute of Technology, Arunachal Pradesh)
(612898)
(-) (-)",Arunachal Pradesh,"09/2009
(03/2013)","08/2026
(08/2024)","592.61
(592.61)",551.3,80
303,"Tezpur University Projects
(Tezpur University)
(606112)
(-) (-)",Assam,"05/2019
(06/2021)","11/2023
(12/2025)","153.71
(153.71)",266.14,97.98
