Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
615,"Belgaum-Dharwad via Kittur [73.10Km]
(South Western Railway [SWR] - II)
(706835)
(N22000557) (3384)",Karnataka,"09/2020
(03/2025)","12/2027
(03/2029)","1591
(1591)",0.38,0
616,"Kumbalam-Turavur doubling project [15.59 Km]
(Ministry of Railways)
(705638)
(N22000620) (1717)",Kerala,"04/2023
(04/2023)","03/2027
(03/2027)","813
(802.8)",127.64,33
617,"Ernakulam-Kumbalam doubling project [7.71 Km]
(SR-ERS)
(705639)
(N22000619) (1716)",Kerala,"04/2023
(04/2023)","03/2028
(02/2027)","601
(595.39)",309.85,25.5
618,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho
(North Central Railway)
(705480)
(220100232) (1208)",Madhya Pradesh,"01/2007
(03/1998)","03/2027
(12/2027)","8914
(8914)",6889.55,74
619,"Satna-Rewa Railway Line Doubling Project
(West Central Railway [WCR] - II)
(705659)
(N22000554) (7289)",Madhya Pradesh,"11/2015
(08/2017)","03/2026
(03/2026)","500
(584)",573.8,88
620,"Doubling of Katni - Singrauli Railway Line [261 km]
(Indian Railway Construction International Limited [IRCON])
(705660)
(N22000351) (1969)",Madhya Pradesh,"03/2016
(03/2017)","12/2025
(12/2025)","2445
(4377)",3360.89,81.2
621,"Katni Grade Separator/Bye Pass
(Indian Railway Construction International Limited [IRCON])
(705661)
(N22000416) (1811)",Madhya Pradesh,"03/2016
(09/2017)","09/2024
(09/2026)","1248
(1248)",1850.38,95
622,"Indore - Budni New Railway Line [198 kms]
(RVNL - II)
(705763)
(N22000601) (1941)",Madhya Pradesh,"08/2019
(10/2020)","09/2030
(09/2030)","7474
(7474)",2617.51,37
623,"Nimach-Ratlam Doubling [133 Km]
(Western Railway [WR] - II)
(705933)
(N22000536) (3802)",Madhya Pradesh,"10/2021
(10/2021)","10/2027
(10/2027)","1095.88
(1095.88)",1284.91,94
624,"DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS]
(Central Railway)
(400019)
(N22000514) (4514)",Maharashtra,"01/2019
(04/2023)","12/2026
(09/2027)","492.76
(1170.83)",542.26,25
625,"Wardha-Nanded Via Yavatmal New BG Line
(Central Railway [CR] - II)
(400271)
(N22000231) (1557)",Maharashtra,"12/2017
(04/2008)","03/2025
(12/2026)","3445
(3445)",3002.93,50
626,"AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km
(South Central Railway [SCR] - II)
(611751)
(-) (5341)",Maharashtra,"05/2023
(05/2023)","03/2027
(-)","960.64
(960.64)",1375.55,2.03
627,"Gauge Conversion of Pachora-Jamner with Extension upto Malkapur [Bodwad] [84.34
Kms]
(Central Railway [CR] - II)
(612845)
(-) (7616)",Maharashtra,"08/2022
(01/2026)","07/2028
(-)","955.39
(955.39)",13.98,10
628,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Rail Land Development Authority)
(613015)
(-) (6128)",Maharashtra,"04/2023
(07/2023)","03/2027
(-)","1813
(1813)",850.58,24
629,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)
(-) (7529)",Maharashtra,"04/2025
(04/2025)","03/2031
(-)","4373.04
(4373.04)",1.79,2
630,"Doubling between Parbhani Parli Vaijanath stations 64.71 Km
(South Central Railway [SCR] - II)
(617215)
(-) (7585)",Maharashtra,"12/2023
(12/2023)","03/2028
(-)","769.93
(769.93)",197.62,0.2
631,"Babupeth - Sasti New Rail Line [13.114 KMs]
(CentralRailway)
(617361)
(-) (-)",Maharashtra,"10/2024
(10/2024)","03/2028
(-)","362.81
(362.81)",0.48,0
632,"Double Chord line Between Nilaje-Kopar
(CentralRailway)
(617364)
(-) (-)",Maharashtra,"01/2025
(01/2025)","07/2028
(-)","338.33
(205)",29.33,24
633,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(Central Railway [CR] - II)
(705356)
(220100181) (1478)",Maharashtra,"01/1999
(10/2002)","03/2026
(03/2026)","2538.67
(4957.27)",5210.08,93
634,"Baramati Lonand New Line Project
(Central Railway)
(705357)
(N22000615) (2255)",Maharashtra,"03/2016
(03/1999)","03/2027
(03/2027)","138.48
(1843.9)",1021.11,60
635,"Wadsa-Gadchiroli
(South East Central Railway)
(705479)
(N22000480) (2276)",Maharashtra,"05/2017
(03/2012)","03/2027
(03/2027)","1886
(1886)",809.56,66
636,"Wardha - Yavatmal Nanded Railway Line Project
(Central Railways)
(705497)
(-) (6638)",Maharashtra,"02/2008
(04/2013)","12/2026
(-)","3445.34
(4030.69)",4043.37,47
